,Original Word (Input), Modernized Word (Ground Truth),Naive Baseline,Model Prediction
0,açetar,aceptar,अ,aceptar
1,a,a,a,a
2,su,su,su,su
3,a,a,a,a
4,buena,buena,buena,buena
5,yr,ir,ir,ir
6,nabara,navarra,अ,navarra
7,pa,para,para,para
8,en,en,en,en
9,bas,bas,bas,vas
10,sobrino,sobrino,sobrino,sobrino
11,mio,mío,mío,meo
12,haber,haber,haber,haber
13,ele,hele,hele,hele
14,s,sueldos,su,sueldos
15,a,a,a,a
16,recibi,recibí,recibí,recib
17,del,del,del,del
18,menos,menos,menos,menos
19,nos,nos,nos,nos
20,de,dé,de,de
21,ponella,ponerla,अ,ponerla
22,abnegacion,abnegación,अ,aanegacin
23,no,de,no,de
24,si,si,si,si
25,dar,dar,dar,dar
26,pedro,fray,pedro,fray
27,de,de,de,de
28,sienpre,siempre,siempre,siempre
29,como,como,como,como
30,se,se,se,se
31,del,del,del,del
32,de,de,de,de
33,la,la,la,la
34,estos,anda,estos,anda
35,canonigos,canónigos,canónigos,cannigos
36,nra,es,nuestra,es
37,hacerlo,hacerlo,hacerlo,hacerlo
38,esta,está,esta,est
39,molestar,siento,molestar,siento
40,nos,nos,nos,nos
41,n,nuestro,nuestro,nuestro
42,ninguna,ninguna,ninguna,ninguna
43,su,su,su,su
44,mallorca,mallorca,mallorca,mallorca
45,vay,vaya,अ,vaya
46,todo,todo,todo,todo
47,reparos,reparos,reparos,reparos
48,el,el,el,el
49,empleadas,empleadas,अ,empleadas
50,61,de,61,de
51,al,al,al,al
52,vmd,vm,vm,vm
53,que,que,que,que
54,y,sesenta,y,sesenta
55,papel,papel,papel,papel
56,o,o,o,o
57,tocaran,tocarán,अ,tocarn
58,esta,esta,esta,esta
59,se,se,se,se
60,para,para,para,para
61,mas,apurar,más,apurar
62,el,viniera,el,viniera
63,la,la,la,la
64,referido,referido,referido,referido
65,deseo,deseo,deseo,deseo
66,que,suerte,que,suerte
67,dezia,que,decía,que
68,con,con,con,con
69,sus,sus,sus,sus
70,la,la,la,la
71,nro,nuestro,nuestro,nuestro
72,salga,salga,salga,salga
73,tengo,tengo,tengo,tengo
74,y,y,y,y
75,avia,había,había,haba
76,biene,viene,viene,viene
77,se,se,se,se
78,por,por,por,por
79,yo,yo,yo,yo
80,coronel,teniente,coronel,teniente
81,tienes,tienes,tienes,tienes
82,quede,quede,quede,quede
83,abadesa,abadesa,abadesa,aaadesa
84,santo,santo,santo,santo
